2000;0.006006;0.000000;0.000000;0.000000;0.016988;0.000000
4000;0.029708;0.001677;0.000000;0.013504;0.019967;0.000000
6000;0.050500;0.018107;0.012503;0.000000;0.040630;0.000000
8000;0.097176;0.038119;0.008036;0.000000;0.071039;0.000000
10000;0.158982;0.063029;0.000000;0.000000;0.109746;0.000000
12000;0.247967;0.094367;0.000000;0.000000;0.157152;0.000000
14000;0.293861;0.126018;0.000000;0.000000;0.228966;0.000000
16000;0.361603;0.170664;0.015483;0.000000;0.282753;0.000000
18000;0.470351;0.229359;0.000000;0.008504;0.341484;0.000000
20000;0.736020;0.313999;0.000000;0.000000;0.426328;0.000000
22000;0.740278;0.339190;0.002932;0.007894;0.497551;0.000000
24000;0.859423;0.388057;0.002638;0.007004;0.563397;0.000000
26000;1.146008;0.512030;0.007996;0.000000;0.679077;0.000000
28000;1.166023;0.528167;0.000000;0.000000;0.753932;0.000000
30000;1.368589;0.782775;0.000000;0.016506;0.927983;0.000000
