1000;0.002708;0.000298;0.000599;0.000202;0.000499;0.000097
2000;0.008689;0.000911;0.000696;0.000398;0.000703;0.000203
3000;0.020525;0.001896;0.000998;0.000696;0.001002;0.000200
4000;0.035799;0.003698;0.001299;0.000899;0.001304;0.000399
5000;0.051910;0.004892;0.001498;0.001198;0.001509;0.000301
6000;0.059739;0.005601;0.001494;0.001103;0.001596;0.000300
7000;0.081014;0.007719;0.001797;0.001304;0.002011;0.000400
8000;0.125200;0.011466;0.002069;0.001548;0.002633;0.000300
9000;0.138089;0.012591;0.002422;0.001608;0.002534;0.000400
10000;0.193004;0.017694;0.002900;0.002198;0.003399;0.000197
11000;0.210434;0.020042;0.003295;0.002404;0.003396;0.000400
12000;0.272807;0.024659;0.003888;0.002515;0.004283;0.000300
13000;0.295035;0.026086;0.003695;0.002401;0.003696;0.000300
14000;0.370213;0.032793;0.004484;0.003190;0.004466;0.000287
15000;0.410485;0.037093;0.004357;0.002926;0.005046;0.000806
16000;0.439053;0.040398;0.004597;0.003298;0.004923;0.000397
17000;0.497143;0.043539;0.004717;0.003116;0.005452;0.000481
18000;0.561803;0.050340;0.005067;0.003472;0.006810;0.000399
19000;0.650909;0.053252;0.005347;0.004008;0.007036;0.000099
20000;0.704466;0.057563;0.005306;0.004228;0.007087;0.000300
