2000;0.015392;0.003998;0.001199;0.000798;0.000501;0.000200
4000;0.060066;0.014788;0.001601;0.001600;0.000698;0.000301
6000;0.105061;0.024582;0.001999;0.001902;0.001100;0.000397
8000;0.183399;0.043490;0.002600;0.002297;0.001399;0.000200
10000;0.304055;0.069056;0.003499;0.003296;0.001899;0.000400
12000;0.433590;0.107455;0.004297;0.004195;0.002398;0.000300
14000;0.601502;0.137972;0.005794;0.004897;0.002998;0.000500
16000;0.776407;0.187016;0.004800;0.006738;0.003058;0.000300
18000;1.002867;0.228470;0.006221;0.006489;0.003706;0.000594
20000;1.237930;0.274428;0.006412;0.007239;0.003900;0.000400
22000;1.452339;0.326680;0.007311;0.007597;0.004594;0.000608
24000;1.748421;0.394932;0.007769;0.008642;0.005046;0.000801
26000;2.040196;0.458012;0.009024;0.009193;0.005617;0.000400
28000;2.356408;0.530423;0.009391;0.010310;0.005800;0.000500
30000;2.697585;0.609591;0.010004;0.011198;0.006497;0.000698
