1000;0.002018;0.000000;0.000000;0.000000;0.007995;0.000000
2000;0.004999;0.000000;0.000000;0.000998;0.020989;0.000999
3000;0.014992;0.000000;0.000998;0.001002;0.065942;0.000000
4000;0.027002;0.000000;0.000000;0.001000;0.085952;0.000000
5000;0.030983;0.000000;0.000000;0.001998;0.133935;0.000000
6000;0.043974;0.000000;0.000000;0.002000;0.193888;0.000000
7000;0.058989;0.000000;0.001001;0.001999;0.264849;0.000000
8000;0.076981;0.000000;0.000999;0.002000;0.344803;0.000000
9000;0.097968;0.000000;0.001000;0.001999;0.435752;0.000000
10000;0.120955;0.000000;0.000999;0.002997;0.536967;0.000999
11000;0.145940;0.000000;0.001000;0.003000;0.651627;0.000000
12000;0.173926;0.000000;0.001999;0.003000;0.774824;0.000000
13000;0.293858;0.000000;0.001997;0.004997;0.995406;0.000000
14000;0.269846;0.000000;0.001001;0.003996;1.055673;0.000000
15000;0.370811;0.000000;0.001997;0.004996;1.212574;0.000999
16000;0.308844;0.000000;0.001997;0.003999;1.379482;0.000000
17000;0.348827;0.000000;0.001998;0.004997;1.557110;0.000000
18000;0.391777;0.000000;0.000999;0.004996;1.834214;0.000000
19000;0.436772;0.000000;0.002000;0.004994;1.999857;0.000000
20000;0.505727;0.000000;0.001998;0.005997;2.155991;0.000000
